name,sector,categories,tags,scope,date,resources,description,countries,actors
Artificial Intelligence Procurement Policy,Public services,Partnership,Procurement,National,9/1/2018 0:00,"<a target=""_blank"" href=""https://www.weforum.org/press/2018/09/united-kingdom-partners-with-world-economic-forum-to-develop-first-artificial-intelligence-procurement-policy/"">Artificial Intelligence Procurement Policy project</a>",,United Kingdom,World Economic Forum; UK Government
"Regulator's Pioneer Fund",AI in general,Pilot,,National,10/1/2018 0:00,"<a target=""_blank"" href=""https://www.gov.uk/government/news/projects-lay-the-groundwork-for-a-future-of-robolawyers-and-flying-cars"">Regulator's Pioneer Fund</a>",,United Kingdom,"Department for Business, Energy & Industrial Strategy"
Data Trust pilots,Model and data management,Pilot,,National,11/1/2018 0:00,"<a target=""_blank"" href=""https://theodi.org/article/uks-first-data-trust-pilots-to-be-led-by-the-odi-in-partnership-with-central-and-local-government/"">ODI Data Trust pilots</a>",,United Kingdom,Open Data Institute
Machine Intelligence Commission Proposal,AI in general,Proposal,,National,2/1/2016 0:00,"<a target=""_blank"" href=""https://media.nesta.org.uk/documents/a_machine_intelligence_commission_for_the_uk_-_geoff_mulgan.pdf"">Nesta - Machine Intelligence Commission Proposal</a>",,United Kingdom,Nesta
Vehicle Technology and Aviation Bill,Autonomous mobility,Bill,,National,2/1/2017 0:00,"<a target=""_blank"" href=""https://publications.parliament.uk/pa/bills/cbill/2016-2017/0143/cbill_2016-20170143_en_2.htm"">Vehicle Technology and Aviation Bill</a>",,United Kingdom,Parliament
Algorithms in decisionmaking,Automated Decision Systems,Report,,National,5/1/2018 0:00,"<a target=""_blank"" href=""https://publications.parliament.uk/pa/cm201719/cmselect/cmsctech/351/351.pdf"">Algorithms in decisionmaking</a>",,United Kingdom,House of Commons Science and Technology Committee
"The Malicious Use of AI: Forecasting, Prevention, and Mitigation",AI in general,Report,,International - Global,2/1/2018 0:00,"<a target=""_blank"" href=""https://img1.wsimg.com/blobby/go/3d82daa4-97fe-4096-9c6b-376b92c619de/downloads/1c6q2kc4v_50335.pdf"">The Malicious Use of AI report</a>",,Global,Future of Humanity Institute
Data Ethics Canvas,Model and data management,Resource,,National,8/1/2017 0:00,"<a target=""_blank"" href=""https://theodi.org/article/data-ethics-canvas/"">Data Ethics Canvas</a>",,United Kingdom,Open Data Institute
AI Select Committee,AI in general,Select Committee,,National,6/1/2017 0:00,"<a target=""_blank"" href=""https://www.parliament.uk/ai-committee"">AI Select Committee</a><br><a target=""_blank"" href=""https://publications.parliament.uk/pa/ld201719/ldselect/ldai/100/10002.htm"">AI in the UK: ready, willing and able? report of the HoL Select Committee</a><br><a target=""_blank"" href=""https://www.parliament.uk/documents/lords-committees/Artificial-Intelligence/AI-Government-Response.pdf"">Government response to Select Committee report</a>",,United Kingdom,House of Lords
DeepMind Ethics & Society,AI in general,Self-regulation,,International - Global,10/1/2017 0:00,"<a target=""_blank"" href=""https://deepmind.com/applied/deepmind-ethics-society/"">DeepMind Ethics & Society</a>",,Global,DeepMind
Guide to the ethical design and application of robots and robotic systems,Robotics,Standardisation,,National,4/1/2016 0:00,"<a target=""_blank"" href=""https://www.bsigroup.com/en-GB/about-bsi/media-centre/press-releases/2016/april/-Standard--highlighting-the-ethical-hazards-of-robots-is-published/"">Guide to the ethical design and application of robots and robotic systems</a>",,United Kingdom,British Standards Institute
AI Sector Deal,AI in general,Strategy,,National,4/1/2018 0:00,"<a target=""_blank"" href=""https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/702810/180425_BEIS_AI_Sector_Deal__4_.pdf"">AI Sector Deal</a>",,United Kingdom,UK Government
Group of Governmental Experts on Lethal Autonomous Weapons Systems (LAWS),Lethal autonomous weapon systems,Report,,International - Global,11/1/2017 0:00,"[url=https://www.unog.ch/80256EDD006B8954/(httpAssets)/B5B99A4D2F8BADF4C12581DF0048E7D0/$file/2017_CCW_GGE.1_2017_CRP.1_Advanced_+corrected.pdf]Group of Governmental Experts on Lethal Autonomous Weapons Systems (LAWS)<span style=""color: red""><span style=""color: red""><span style=""color: red""><span style=""color: red"">[/url]</span></span></span></span>",,Global,United Nations
AI in Government Act,Public services,Bill,,National,9/1/2018 0:00,"<a target=""_blank"" href=""https://www.congress.gov/bill/115th-congress/senate-bill/3502"">AI in Government Act</a>",,USA,US Senate
Open Government Data Act,Public services,Bill,,National,7/1/2017 0:00,"<a target=""_blank"" href=""https://www.congress.gov/bill/115th-congress/senate-bill/760"">Open Government Data Act</a><br><a target=""_blank"" href=""https://www.datacoalition.org/open-government-data-act/"">Data Coalition Resources on US Open Gov Data</a>",,USA,US Senate
AI Caucus,AI in general,Caucus,,National,"May 1, 2017 00:00","<a target=""_blank"" href=""https://artificialintelligencecaucus-olson.house.gov/"">AI Caucus</a>",,USA,US Congress
Ethical guidelines for applying predictive tools within human services,Public services,Ethics guidelines,,National,9/1/2017 0:00,"<a target=""_blank"" href=""https://metrolabnetwork.org/wp-content/uploads/2017/09/Ethical-Guidelines-for-Applying-Predictive-Tools-within-Human-Services_Sept-2017.pdf"">Ethical guidelines for applying predictive tools within human services</a>",,USA,Metrolab Network
Equal Credit Opportunity Act,Finance,Federal law,,National,10/1/1974 0:00,"<a target=""_blank"" href=""http://uscode.house.gov/view.xhtml?path=/prelim@title15/chapter41/subchapter4&edition=prelim"">Equal Credit Opportunity Act</a>",,USA,US House of Representatives
Artificial Intelligence for Citizen Services,Public services,Government community,,National,10/1/2016 0:00,"<a target=""_blank"" href=""https://www.gsa.gov/technology/government-it-initiatives/emerging-citizen-technology/artificial-intelligence-for-citizen-services"">Artificial Intelligence for Citizen Services</a>",,USA,US General Services Administration
Communications Decency Act of 1996,Intermediaries,Legislation,,National,2/1/1996 0:00,"<a target=""_blank"" href=""https://www.nhtsa.gov/sites/nhtsa.dot.gov/files/documents/13069a-ads2.0_090617_v9a_tag.pdf"">Communications Decency Act of 1996</a>",,USA,US Senate
AB-375 Privacy: personal information: businesses,Data protection,Proposed law,,Regional,"Jun 1, 2018 00:00",https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180AB375]AB-375 Privacy: personal information: businesses,,USA,California State Legislature
An Act relative to criminal justice reform (S.2185),Justice system,Bill,,Regional,10/1/2017 0:00,"<a target=""_blank"" href=""https://malegislature.gov/Bills/190/S2185/BillHistory"">An Act relative to criminal justice reform (S.2185)</a><br><a target=""_blank"" href=""https://medium.com/berkman-klein-center/the-following-letter-signed-by-harvard-and-mit-based-faculty-staff-and-researchers-chelsea-7a0cf3e925e9"">Open Letter by Harvard-MIT faculty</a>",,USA,Massachusetts Senate
National Security Commission Artificial Intelligence Act of 2018 (HR 5356 / S 2806,National security,Bill,,National,5/1/2018 0:00,"<a target=""_blank"" href=""https://scipol.duke.edu/track/hr-5356-national-security-commission-artificial-intelligence-act-2018/national-security"">National Security Commission Artificial Intelligence Act of 2018 (HR 5356 / S 2806)</a>",,USA,US House ; US Senate
Artificial Intelligence Job Opportunities and Background Summary Act of 2018 (AI JOBS Act of 2018),AI in general,Bill,,National,1/1/2018 0:00,"<a target=""_blank"" href=""https://www.congress.gov/bill/115th-congress/house-bill/4829"">AI JOBS Act of 2018</a>",,USA,US House of Representatives
Innovation Corps Act of 2017 (H.R.1576),AI in general,Bill,,National,3/1/2017 0:00,"<a target=""_blank"" href=""https://www.congress.gov/bill/115th-congress/house-bill/1576?q=%7B%22search%22%3A%5B%22%5C%22Artificial+Intelligence%5C%22%22%5D%7D&r=5"">Innovation Corps Act of 2017</a> [font=Verdana, Arial, Helvetica, sans-serif]H.R.1576",,USA,US House of Representatives
SELF-DRIVE Act,Autonomous mobility,Bill,,National,9/1/2017 0:00,"<a target=""_blank"" href=""https://www.congress.gov/bill/115th-congress/house-bill/3388/"">SELF-DRIVE Act</a>",,USA,US House of Representatives
American Vision for Safer Transportation through Advancement of Revolutionary Technologies (AV START) Act,Autonomous mobility,Bill,,National,11/1/2017 0:00,"<a target=""_blank"" href=""https://www.congress.gov/bill/115th-congress/senate-bill/1885"">AV START Act</a>",,USA,US Senate
Driverless Testing of Vehicles,Autonomous mobility,Regulation,,Regional,4/1/2018 0:00,"<a target=""_blank"" href=""https://www.dmv.ca.gov/portal/dmv/detail/vr/autonomous/auto"">California Driverless Testing of Vehicles</a>",,USA,California Department of Motor Vehicles
Preparing for the Future of Transportation Automated Vehicles 3.0,Autonomous mobility,Regulation,,National,10/1/2018 0:00,"<a target=""_blank"" href=""https://www.transportation.gov/sites/dot.gov/files/docs/policy-initiatives/automated-vehicles/320711/preparing-future-transportation-automated-vehicle-30.pdf"">Preparing for the Future of Transportation Automated Vehicles 3.0</a><br>[font=Verdana, Arial, Helvetica, sans-serif]<a target=""_blank"" href=""https://www.autosafety.org/center-for-auto-safety-petitions-nhtsa-to-begin-rulemaking-to-immediately-mandate-submission-of-safety-information-by-companies-testing-self-driving-technology-on-public-road/"">Center for Auto Safety Petition to NHTSA</a>",,USA,US Department of Transport
Supervisory Guidance on Model Risk Management (SR-11-7),Finance,Regulation,,National,4/1/2011 0:00,"<a target=""_blank"" href=""https://www.federalreserve.gov/supervisionreg/srletters/sr1107a1.pdf"">Federal Reserve SR-11-7</a>",,USA,US Federal Reserve
NHTSA Action on AVs,Autonomous mobility,Regulation,,National,12/1/2016 0:00,"<a target=""_blank"" href=""All NHTSA Action on AVs"">All NHTSA Action on AVs</a>",,USA,US National Highway Traffic Safety Administration
Automated Driving Systems - A Vision for Safety 2.0,Autonomous mobility,Regulation,,National,9/1/2017 0:00,"<a target=""_blank"" href=""https://www.nhtsa.gov/sites/nhtsa.dot.gov/files/documents/13069a-ads2.0_090617_v9a_tag.pdf"">Automated Driving Systems - A Vision for Safety 2.0</a>",,USA,US National Highway Traffic Safety Administration
Federal Automated Vehicles Policy,Autonomous mobility,Regulation,,National,9/1/2016 0:00,"<a target=""_blank"" href=""https://www.transportation.gov/sites/dot.gov/files/docs/AV%20policy%20guidance%20PDF.pdf"">Federal Automated Vehicles Policy</a>",,USA,US National Highway Traffic Safety Administration
State-level AV laws,Autonomous mobility,Legislation,,National,3/1/2011 0:00,"<a target=""_blank"" href=""http://www.ncsl.org/research/transportation/autonomous-vehicles-self-driving-vehicles-enacted-legislation.aspx"">NCSL state-level AV legislation database</a><br><a target=""_blank"" href=""http://cyberlaw.stanford.edu/wiki/index.php/Automated_Driving:_Legislative_and_Regulatory_Action"">Stanford collection of State-level AV laws</a>","The National Conference on State Legislatures hosts a searchable database of all enacted pieces of legislation with regard to autonomous vehicles. As of 14 January 2019, it lists 64 items from 30 different states. The legislations cover a range of topics, such as commercial AV use, cybersecurity of vehicles, definitions, infrastructure and connected vehicles, insurance and liability, licensing and registration, operation on public roads, operator requirements, the privacy of collected vehicle data, requests for study, vehicle inspection requirements and vehicle testing.",USA,US States
AI and National Security,National security,Research,,National,7/1/2017 0:00,"<a target=""_blank"" href=""https://www.belfercenter.org/sites/default/files/files/publication/AI%20NatSec%20-%20final.pdf"">AI and National Security</a>",,USA,Belfer Centre at Harvard
AI Next Campaign,AI in general,Research,,National,9/1/2018 0:00,"<a target=""_blank"" href=""https://www.darpa.mil/work-with-us/ai-next-campaign"">AI Next Campaign</a>","AI Next is a multi-year, $2 billion research program by the US Defense Advanced Research Projects Agency. Its aim is to develop ‘Third Wave’ AI technologies capable of acquiring new knowledge through generative and contextual explanatory models.<br><br><br><br>Key areas of the campaign include automating critical DoD business processes, such as security clearance vetting or accrediting software systems for operational deployment; improving the robustness and reliability of AI systems; enhancing the security and resiliency of machine learning and AI technologies; reducing power, data, and performance inefficiencies; and pioneering the next generation of AI algorithms and applications, such as “explainability” and common sense reasoning.<br><br><br><br>An important element of the research is the AI Exploration program, which offers 18 months’ funding to selected, high-risk high-payoff projects and uses a streamlined contracting process to expedite project development.",USA,DARPA
Narrative Analysis of AI,AI in general,Research,,National,7/1/2017 0:00,"<a target=""_blank"" href=""https://www.oodaloop.com/wp-content/uploads/2017/07/OCIA-NetAssessment-Artificial_Intelligence_Narrative_Analysis.pdf"">Narrative Analysis of AI</a>",,USA,Department of Homeland Security
Nondisclosed-by-default policy,AI in general,Self-regulation,,National,11/1/2018 0:00,"<a target=""_blank"" href=""https://intelligence.org/2018/11/22/2018-update-our-new-research-directions/"">Nondisclosed-by-default research policy</a>",,USA,Machine Intelligence Research Institute
NIST AI Standards Programme,AI in general,Standardisation,,National,10/1/2017 0:00,"<a target=""_blank"" href=""https://www.nist.gov/topics/artificial-intelligence"">AI Programme</a>",,USA,National Institute of Standards and Technology
Pretrial release or detention: pretrial services (SB-10),Justice system,State legislation,,Regional,8/1/2018 0:00,"<a target=""_blank"" href=""https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180SB10"">SB-10 Bill text</a><br><a target=""_blank"" href=""https://policylab.stanford.edu/media/improving-california-bail.pdf"">Stanford Computational Policy Lab opinion</a><br><a target=""_blank"" href=""https://www.eff.org/deeplinks/2018/11/if-pre-trial-risk-assessment-tool-does-not-satisfy-these-criteria-it-needs-stay"">Electronic Frontier Foundation opinion</a><br><a target=""_blank"" href=""https://www.hrw.org/sites/default/files/supporting_resources/hrw_sb_10_opposition_letter.pdf"">Human Rights Watch opinion</a>",,USA,California State Legislature
Bots: disclosure Act (SB-1001),Bots,,,Regional,9/1/2018 0:00,"<a target=""_blank"" href=""https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180SB1001"">SB-1001 Bill text</a><br><a target=""_blank"" href=""https://www.eff.org/deeplinks/2018/05/should-ai-always-identify-itself-its-more-complicated-you-might-think"">Electronic Frontier Foundation opinion</a>",,USA,California State Legislature
National AI R&D Strategic Plan,AI in general,Strategy,,National,10/1/2016 0:00,https://www.nitrd.gov/PUBS/national_ai_rd_strategic_plan.pdf]National AI R&D Strategic Plan,,USA,National Science and Technology Council
Lethal Autonomous Weapons Pledge,Lethal autonomous weapon systems,Self-regulation,Human control;,International - Global,7/1/2018 0:00,"<a target=""_blank"" href=""https://futureoflife.org/lethal-autonomous-weapons-pledge/"">The pledge</a>",Those who sign the pledge call upon governments to develop strong international norms and rules against lethal autonomous weapon systems. They also commit to not participating in the development or trade of such systems in any way. <br>The pledge has been endorsed by hundreds of companies and thousands of AI researchers from across the world.,Global,Future of Life Institute
Responsible AI in the Canadian Government,Public services,White paper,Bias; Accountability; Oversight; Ethical design; Transparency;,National,4/1/2018 0:00,"<a target=""_blank"" href=""https://docs.google.com/document/d/1Sn-qBZUXEUG4dVk909eSg5qvfbpNlRhzIefWPtBwbxY/edit"">White paper</a>","The white paper lays out 7 principles that will guide the Canadian Treasury Board’s policy on the use of AI in government. It forms part of the Canadian Government’s efforts to take global leadership on AI policy development and showcasing that strong ethical principles support positive outcomes. The principles are intended for the use of federal institutions looking to use AI for the delivery of public services, to help design policy and respond to risk, or to the internal services of government.<br><ol><br><li>“People should always be governed – and perceive to be governed – by people;”</li><br><li>“AI systems deployed on behalf of government should be trained to reflect the <em>Values and Ethics of the Public Sector</em> as well as Canadian and international human rights obligations; they should be used to reinforce these values where possible;”</li><br><li>“Organizations are accountable for the actions of AI systems, and should build systems that are auditable;”</li><br><li>“Understanding the need to protect privacy and national security, AI systems should be deployed in the most transparent manner possible;”</li><br><li>“Organizations should ensure that reliable contingencies are in place for when AI systems fail, or to provide services to those unable to access these systems;”</li><br><li>“AI systems should be developed in a diverse team that includes individuals capable of assessing the ethical and socioeconomic implications of the system;“</li><br><li>“AI systems should be deployed in a manner that minimizes negative impact to employees where possible, and should, where feasible, be created alongside the employees that will work with them.”</li><br></ol><br>The report also recommends institutions to invest in their data science and business intelligence capacity, which is the foundation of using AI tools. Chief Data Officers should manage investments in building up data science capacity and the deployment of AI tools should come with a multidisciplinary team comprised of social scientists, ethicists, data scientists, change management professionals and user experience designers.<br>The paper also proposes the establishment of some oversight body, such as an ad-hoc Automation Advisory Board, to provide guidance to Federal institutions on the ethical design and deployment of AI-driven tools.",Canada,Government of Canada
Police Directive,Law enforcement,Directive,,International - EU,4/1/2016 0:00,"<a target=""_blank"" href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv%3AOJ.L_.2016.119.01.0089.01.ENG"">Police Directive</a>",The Police Directive seeks to apply the key data protection principles of the GDPR to EU police authorities.,European Union,European Parliament and Council
Stanford 100 Year Study,AI in general,Research,,International - Global,12/1/2014 0:00,"<a target=""_blank"" href=""https://ai100.stanford.edu/"">Stanford 100 Year Study</a>",,Global,Stanford University
"Principles to Promote Fairness, Ethics, Accountability and Transparency in the Use of AI and Data Analytics in Singapore’s Financial Sector",Finance,Ethics guidelines,,National,11/1/2018 0:00,"<a target=""_blank"" href=""http://www.mas.gov.sg/~/media/MAS/News%20and%20Publications/Monographs%20and%20Information%20Papers/FEAT%20Principles%20Final.pdf"">Principles to Promote Fairness, Ethics, Accountability and Transparency in the Use of AI and Data Analytics in Singapore’s Financial Sector</a>",,Singapore,Monetary Authority of Singapore
Catalonia Living Lab for Connected and Automated Driving,Autonomous mobility,Test environment,,National,10/1/2017 0:00,"<a target=""_blank"" href=""http://catalonialivinglab.com/"">Catalonia Living Lab for Connected and Automated Driving</a>",,Spain,Catalan Government
Driverless Futures,Autonomous mobility,Research,,National,1/1/2019 0:00,"<a target=""_blank"" href=""https://driverless-futures.com/"">Driverless Futures</a>",,United Kingdom,UK Economic and Social Research Council
IBM AI Ethical Principles,AI in general,Self-regulation,,International - Global,10/1/2017 0:00,"<a target=""_blank"" href=""https://www.ibm.com/watson/ai-ethics/"">IBM AI Ethical Principles</a>",,Global,IBM
Safe Face Pledge,Facial recognition,Self-regulation,,International - Global,12/1/2018 0:00,"<a target=""_blank"" href=""https://www.safefacepledge.org/"">Safe Face Pledge</a>",,Global,Algorithmic Justice League
Deutsche Telekom AI Guidelines,AI in general,Self-regulation,,International - Global,11/1/2018 0:00,"<a target=""_blank"" href=""https://www.telekom.com/en/company/digital-responsibility/details/artificial-intelligence-ai-guideline-524366"">Deutsche Telekom AI Guidelines</a>",,Global,Deutsche Telekom
ITU Focus Group on AI for Health,Health,Working group,,International - Global,7/1/2018 0:00,"<a target=""_blank"" href=""https://www.itu.int/en/ITU-T/focusgroups/ai4h/Pages/default.aspx"">ITU Focus Group on AI for Health</a>",,Global,International Telecommunications Union ; Wolrd Health Organization
Study On The Human Rights Dimensions Of Automated Data Processing Techniques (In Particular Algorithms) And Possible Regulatory Implications,Automated Decision Systems,Report,,International - EU,3/1/2018 0:00,"<a target=""_blank"" href=""https://rm.coe.int/algorithms-and-human-rights-study-on-the-human-rights-dimension-of-aut/1680796d10"">Study On The Human Rights Dimensions Of Automated Data Processing Techniques (In Particular Algorithms) And Possible Regulatory Implications</a>",,European Union,Council of Europe; Committee of Experts on Internet Intermediaries (MSI-NET)
Comprehensive European industrial policy on AI and robotics,AI in general,Report,,International - EU,11/1/2018 0:00,"<a target=""_blank"" href=""http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//NONSGML+COMPARL+PE-630.525+01+DOC+PDF+V0//EN&language=EN"">Comprehensive European industrial policy on AI and robotics</a>",,European Union,"European Parliament Committee on Industry, Research and Energy"
Ethical Accountability Framework,Model and data management,Report,,National,10/1/2018 0:00,"<a target=""_blank"" href=""https://www.pcpd.org.hk/misc/files/Ethical_Accountability_Framework.pdf"">Ethical Accountability Framework</a>",,Hong Kong,Privacy Commissioner for Personal Data
FRR Certificate,Robotics,Self-regulation ; Standardisation,,International - Global,9/1/2018 0:00,"<a target=""_blank"" href=""https://responsiblerobotics.org/can-ai-survive-without-public-trust/"">FRR Certificate</a>",,Global,Foundation for Responsible Robotics
Axon AI and Policing Technology Ethics Board,Law enforcement,Self-regulation ; Ethics guidelines,,International - Global,4/1/2018 0:00,"<a target=""_blank"" href=""https://global.axon.com/info/ai-ethics"">Axon AI and Policing Technology Ethics Board</a>",,Global,Axon
Protocol amending the Convention for the Protection of Individuals with regard to Automatic Processing of Personal Data,Data protection,Treaty,,International - EU,10/10/2018 12:12,"<a target=""_blank"" href=""https://www.coe.int/en/web/conventions/full-list/-/conventions/rms/09000016808ac918"">Protocol amendment text</a><br><br><a target=""_blank"" href=""https://rm.coe.int/CoERMPublicCommonSearchServices/DisplayDCTMContent?documentId=09000016808ac91a"">Explanatory Report<br>to the Protocol</a>","The Convention for the Protection of Individuals with regard to Automatic Processing of Personal Data is a Council of Europe treaty that was originally signed in 1981. Its aim was to strengthen data protection with respect to the automatic processing of personal data. It was prompted by the growing use of computers for administrative purposes and the move away from manual files. It was the first legally binding international instrument on data protection. It outlawed the collection of ""sensitive"" data on a person's race, politics, health, religion, sexual life, criminal record, etc., in the absence of proper legal safeguards. It also guaranteed individuals the right to know what information is stored about them and to have that information corrected. In October 2018 a Protocol amending the Convention was opened for signature.<br><br>The protocol aims to modernise the Convention and ensure consistency with other EU data protection activities, such as the GDPR and the Police Directive. The Convention is also an instrument of spreading the EU approach to data protection because it serves as the basis of privacy legislation in several countries outside the EU, providing a flexible multilateral framework. The Protocol contains several updates, such as 1) Stronger requirements regarding the proportionality and data minimisation principles; 2) Extension of the types of sensitive data, which will now include genetic and biometric data, trade union membership and ethnic origin; 3) the obligation to declare data breaches; 4) increased transparency of data processing; 5) new rights for the persons in an algorithmic decision making context; 6) stronger accountability of data controllers; 7) the requirement that the “privacy by design” principle is applied; 8) requiring the application of the data protection principles to all processing activities, including for national security reasons; 9) clear regime of transborder data flows; 10) reinforced powers and independence of the data protection authorities and enhancing legal basis for international cooperation.",European Union,Council of Europe
Unfairness by algorithm,Automated Decision Systems,Report,,International - Global,12/11/2017 0:00,"<a target=""_blank"" href=""https://fpf.org/wp-content/uploads/2017/12/FPF-Automated-Decision-Making-Harms-and-Mitigation-Charts.pdf"">Report</a>","The Future of Privacy Forum is a US-based ""nonprofit organization that serves as a catalyst for privacy leadership and scholarship, advancing principled data practices in support of emerging technologies.""<br>In order to advance the debate on the fair use of data and algorithms, the FPF has conducted an extensive review of the academic and grey literature of algorithmic discrimination. This resulted in two condensed charts offering a categorisation of possible algorithmic harms and strategies for their mitigation. The harms are grouped into individual and collective/societal harms, and include loss of opportunity, economic loss, social detriment, and loss of liberty. Individual harms are further broken down into illegal and unfair.",Global,Future of Privacy Forum
Automating Society,Automated Decision Systems,Report,,International - EU,1/29/2019 0:00,"<a target=""_blank"" href=""https://algorithmwatch.org/en/automating-society/"">Automating Society report</a>","Based in Germany, AlgorithmWatch is ""a non-profit research and advocacy organisation to evaluate and shed light on algorithmic decision making processes that have a social relevance, meaning they are used either to predict or prescribe human action or to make decisions automatically.""<br>The report was produced in collaboration with the Bertelsmann Foundation with support from the Open Society Foundations. It takes stock of automated decision-making at the EU level and in 12 Member States: Belgium, Denmark, Finland, France, Germany, Italy, Netherlands Poland, Slovenia, Spain, Sweden and the UK. The report covers societal discussions on the topic of automated decision-making, the regulatory proposals that have been put forward, as well as the oversight institutions and mechanisms that are in place. Finally, it contains an extensive list of automated decision-making systems 'in action' in both the private and public sectors at the time of publication.",European Union,AlgorithmWatch
Guidelines on AI and Data Protection,Data protection,Guidelines,,International - EU,1/25/2019 0:00,"<a target=""_blank"" href=""https://rm.coe.int/guidelines-on-artificial-intelligence-and-data-protection/168091f9d8"">Guidelines on AI and Data Protection</a>","The guidelines were issues by the Consultative Committee of the Convention for the Protection of Individuals with Regard to Automatic Processing of Personal Data. The Convention is a cornerstone of international data protection rules. The document offers general guidance, as well as specific points for developers, manufacturers and service providers, and a set of recommendations for legislators and policy makers.",European Union,Council of Europe
Perspectives on Issues in AI Governance,AI in general,White paper,,International - Global,1/22/2019 0:00,"<a target=""_blank"" href=""https://ai.google/static/documents/perspectives-on-issues-in-ai-governance.pdf"">White paper</a>","Google's white paper discusses 5 areas where governments, civil society and AI practitioners can collaborate on AI governance mechanisms. The five areas are ""explainability standards, approaches to appraising fairness, safety considerations, requirements for human-AI collaboration, and general liability frameworks."" For each of the 5 areas the paper outlines suggested actions. The document expresses the view that a significant portion of the AI governance debate has focused on high-level issues but it is time to advance pragmatic solutions to particular challenges.",Global,Google
A Proposed Model AI Governance Framework,AI in general,Proposal,,National,1/23/2019 0:00,"<a target=""_blank"" href=""https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Resource-for-Organisation/AI/A-Proposed-Model-AI-Governance-Framework-January-2019.pdf"">Model Framework</a>","The model outlines the PDPC's the first edition of a proposed AI Governance Framework, which is intended to ""help chart the language and frame the discussions around harnessing AI in a responsible way.""<br>It is built on two guiding principles, stating that AI decisions should be explainable, transparent and fair, and the overall AI systems should be human-centric. These overarching principles are translated into practical measures that organisations can implement. These measures include internal governance structures, risk management, operations management, and customer relationship management. <br>The document is intended as a resource to help organisations, trade associations, progressional bodies conduct internal discussions about how to adapt their processes to ensure responsible AI development and deployment. The PDPC is also looking to receive comments from such organisations to further improve upon the framework.",Singapore,Personal Data Protection Commission
